for i, y in enumerate(x):
    print i, y
145 (u'w_share_ratio_1_smooth_idf_tokens_lower', 0.0030787051655352116)
146 (u'w1_mean_std_idf_tokens_lower', 0.0030787051655352116)
147 (u'freq_50_plus_min', 0.0030787051655352116)
148 (u'lemmas_token_sort_ratio', 0.003048222977668047)
149 (u'w2_sum_std_idf_tokens_lower_no_stops', 0.003048222977668047)
150 (u'freq_50_plus_g_mean', 0.003048222977668047)
151 (u'freq_100_plus_std', 0.003048222977668047)
152 (u'freq_500_minus_std', 0.003048222977668047)
153 (u'glove_wmd_tokens', 0.003048222977668047)
154 (u'len_char_q1', 0.0030177405569702387)
155 (u'freq_500_minus_max_min_ratio', 0.0030177405569702387)
156 (u'kur_vec_lemmas_glove_log_ratio', 0.0030177405569702387)
157 (u'w1_sum_std_idf_dirty_upper', 0.002987258369103074)
158 (u'freq_50_plus_max_min_ratio', 0.002987258369103074)
159 (u'w2_sum_smooth_idf_dirty_lower_no_stops', 0.0029567761812359095)
160 (u'w_share_ratio_3_smooth_idf_tokens_lower_no_stops', 0.0029567761812359095)
161 (u'freq_200_minus_mean', 0.002926293993368745)
162 (u'lex_wmd_lemmas', 0.002926293993368745)
163 (u'kur_vec_tokens_lex_abs_diff', 0.002926293993368745)
164 (u'lemmas_levenshtein', 0.0028958118055015802)
165 (u'freq_200_minus_max_min_ratio', 0.0028958118055015802)
166 (u'freq_500_plus_std', 0.0028958118055015802)
167 (u'freq_1000_minus_max_min_ratio', 0.0028958118055015802)
168 (u'kur_vec_tokens_glove_abs_diff', 0.0028958118055015802)
169 (u'stems_nlevenshtein', 0.0028653296176344156)
170 (u'freq_1000_plus_max_min_ratio', 0.0028653296176344156)
171 (u'w1_sum_std_idf_dirty_lower_no_stops', 0.0028348471969366074)
172 (u'w1_sum_smooth_idf_dirty_upper', 0.0028348471969366074)
173 (u'w_share_std_idf_dirty_upper', 0.0028348471969366074)
174 (u'freq_50_minus_g_mean', 0.0028348471969366074)
175 (u'freq_100_minus_mean', 0.0028348471969366074)
176 (u'freq_200_plus_std', 0.0028348471969366074)
177 (u'freq_200_minus_std', 0.0028348471969366074)
178 (u'kur_vec_tokens_lex_1div2_ratio', 0.0028348471969366074)
179 (u'common_stems_ratio', 0.0028043650090694427)
180 (u'w1_sum_smooth_idf_dirty_lower_no_stops', 0.0028043650090694427)
181 (u'freq_500_plus_max_min_ratio', 0.0028043650090694427)
182 (u'kur_vec_lemmas_lex_q1_ratio', 0.0028043650090694427)
183 (u'w2_sum_smooth_idf_dirty_upper', 0.002773882821202278)
184 (u'w2_mean_smooth_idf_tokens_lower', 0.002773882821202278)
185 (u'freq_100_minus_max_min_ratio', 0.002773882821202278)
186 (u'freq_500_plus_g_mean', 0.002773882821202278)
187 (u'lemmas_nlevenshtein', 0.0027434006333351135)
188 (u'freq_100_plus_max', 0.0027434006333351135)
189 (u'freq_100_minus_g_mean', 0.0027434006333351135)
190 (u'w2_mean_std_idf_tokens_lower_no_stops', 0.002712918445467949)
191 (u'canberra_distance_lemmas_glove', 0.002712918445467949)
192 (u'kur_vec_tokens_word2vec_abs_diff', 0.0026824360247701406)
193 (u'w_share_std_idf_tokens_lower_no_stops', 0.002651953836902976)
194 (u'kur_vec_lemmas_word2vec_abs_diff', 0.002651953836902976)
195 (u'w2_sum_std_idf_dirty_lower_no_stops', 0.0026214716490358114)
196 (u'freq_100_plus_mean', 0.0026214716490358114)
197 (u'freq_500_minus_g_mean', 0.0026214716490358114)
198 (u'len_char_diff', 0.002560507273301482)
199 (u'len_word_ratio', 0.002560507273301482)
200 (u'w1_sum_smooth_idf_tokens_lower', 0.002560507273301482)
201 (u'w1_sum_smooth_idf_tokens_lower_no_stops', 0.002560507273301482)
202 (u'w1_mean_std_idf_tokens_lower_no_stops', 0.002560507273301482)
203 (u'freq_200_minus_g_mean', 0.002560507273301482)
204 (u'freq_500_plus_mean', 0.002560507273301482)
205 (u'kur_vec_tokens_glove_1div2_ratio', 0.0025300250854343176)
206 (u'w1_mean_smooth_idf_dirty_lower_no_stops', 0.0024995426647365093)
207 (u'w1_sum_std_idf_tokens_lower_no_stops', 0.0024995426647365093)
208 (u'freq_100_plus_max_min_ratio', 0.0024995426647365093)
209 (u'freq_200_plus_max_min_ratio', 0.0024995426647365093)
210 (u'freq_200_minus_max', 0.0024690604768693447)
211 (u'freq_500_minus_max', 0.0024690604768693447)
212 (u'w1_sum_std_idf_tokens_lower', 0.00243857828900218)
213 (u'freq_200_plus_mean', 0.00243857828900218)
214 (u'stop_words_ratio_q1', 0.0024080961011350155)
215 (u'glove_norm_wmd_lemmas', 0.0024080961011350155)
216 (u'lex_wmd_tokens', 0.0024080961011350155)
217 (u'common_lemmas_ratio', 0.002377613913267851)
218 (u'w1_mean_smooth_idf_tokens_lower_no_stops', 0.002377613913267851)
219 (u'upper_minus_freq_200', 0.002377613913267851)
220 (u'freq_200_plus_g_mean', 0.0023471317254006863)
221 (u'w2_mean_smooth_idf_dirty_lower_no_stops', 0.0022861671168357134)
222 (u'w2_sum_std_idf_dirty_upper', 0.0022861671168357134)
223 (u'freq_100_plus_g_mean', 0.0022861671168357134)
224 (u'w2_max_std_idf_dirty_upper', 0.002225202741101384)
225 (u'w1_min_smooth_idf_tokens_lower', 0.002164238365367055)
226 (u'cityblock_distance_lemmas_glove', 0.002164238365367055)
227 (u'stop_words_ratio_q2', 0.0021337559446692467)
228 (u'wh_same', 0.0021337559446692467)
229 (u'minkowski_distance_tokens_glove', 0.0021337559446692467)
230 (u'canberra_distance_tokens_glove', 0.002103273756802082)
231 (u'w2_sum_smooth_idf_tokens_lower_no_stops', 0.0020727915689349174)
232 (u'tokens_levenshtein', 0.002042309381067753)
